"City","Description","References"
"Chicago","Steely skyscrapers, top chefs, rocking festivals – the Windy City will blow you away with its low-key cultured awesomeness.\n\nArt & Architecture\n\nIt's hard to know what to gawk at first. High-flying architecture is everywhere, from the stratospheric, glass-floored Willis Tower to Frank Gehry's swooping silver Pritzker Pavilion to Frank Lloyd Wright's stained-glass Robie House. Whimsical public art studs the streets; you might be walking along and wham, there's an abstract Picasso statue that's not only cool to look at, but you're allowed to go right up and climb on it. For art museums, take your pick: impressionist masterpieces at the massive Art Institute, psychedelic paintings at the midsized Museum of Mexican Art or outsider drawings at the small Intuit gallery.\n\nChowhounds' Delight\n\nLoosen your belt – you've got a lot of eating to do. On the menu: peanut-butter-and-banana-topped waffles for breakfast (at Stephanie Izard's Little Goat), pork-shoulder posole and garlicky yucca enchiladas for lunch (at Dove's Luncheonette) and fine dining on foraged foods for dinner (at Iliana Regan's Elizabeth). You can also chow down on a superb range of global eats from Vietnamese pho to Mexican carnitas, Polish pierogi and Macanese fat rice. Still hungry? Order a late-night deep-dish pizza or seek out a hot and spicy Italian beef sandwich at a local fast-food joint.\n\nSports Fanatics\n\nChicago is a maniacal sports town, with a pro team for every season (two teams, in baseball's case). Watching a game is a local rite of passage, whether you slather on the blue-and-orange body paint for a Bears football game, join the raucous baseball crowd in Wrigley Field's bleachers, or plop down on a bar stool at the neighborhood tavern for whatever match is on TV. Count on making lots of spirited new friends. Should the excitement rub off and inspire you to get active yourself, the city's 26 beaches and 580 parks offer a huge array of play options.\n\nRollicking Festivals\n\nChicago knows how to rock a festival. Between March and September it throws around 200 shindigs. The specialty is music. Blues Fest brings half a million people to Millennium Park to hear guitar notes slide and bass lines roll, all for free. During the four-day Lollapalooza megaparty, rock bands thrash while the audience dances in an arm-flailing frenzy. Smaller, barbecue-scented street fests take place in the neighborhoods each weekend – though some rival downtown for star power on their stages (oh, hey, Olivia Newton-John at Northalsted Market Days).","https://www.lonelyplanet.com/usa/chicago"
"Dallas","Dallas, Texas, is a city rich in cultural, historical and gastronomic experiences and unique surprises. It is home to the world famous Dallas Cowboys, spectacular dining, entertainment and shopping options that will keep you busy for days. It is the city where southern hospitality receives a Texan touch.\n\nStart with a truly Texan experience at Texas Horse Park. Its serene horseback riding trails make you forget that it is less than eight miles from the center. If youre a sports fan, head west for a VIP guided tour of AT&T Stadium, home to the Dallas Cowboys football team.\n\nIf youre looking for a historic experience, visit the Sixth Floor Museum on the Dealey Plaza to experience the life and presidency of John F. Kennedy. You can also explore the George W. Bush Presidential Library and Museum and participate in the presidents decision-making process at the interactive Decision Points Theater, in addition to taking a photo behind the presidents desk in a life-size replica of the Oval Office.\n\nFor a different view of Dallas, visit the Reunion Tower GeO-Deck. The observation terrace, 170 meters high, has an external walkway. The Perot Museum of Nature and Science is a must-see for science lovers. Home to the most impressive jewelry collection in the United States and recently discovered species of dinosaurs that can only be seen in Dallas!\n\nAdded bonus: Sixth Floor Museum at Dealey Plaza, George W. Bush Presidential Library and Museum, Reunion Tower GeO-Deck and Perot Museum of Nature and Science are attractions included in CityPASS. Save up to 42% on admission to Dallas top four attractions with CityPASS\n\nDallas-style shopping\n\nNo visit to Dallas is complete without an afternoon of shopping. Stroll through historic West End to shop for souvenirs at the Wild Bill’s Western Store. For a luxury experience in one of the most renowned shopping malls in the country, go to the NorthPark Center and take advantage of tax free shopping available to international visitors.\n\nNo matter the taste, you find it in Dallas. Trinity Groves, a trendy culinary mecca just west of the city center, offers everything from barbecue, sushi and Spanish tapas to hamburgers and homemade delicacies typical of the southern region. At Deep Ellum you will find a delicious Texan barbecue, and the Tex-Mex options, such as Meso Maya, come with margaritas: savory or sweet, with ice or frozen. If in doubt, order two at once.\n\n localVisit Klyde Warren Park (Klyde Warren Park), where visitors and locals alike gather for fun activities, such as tai-chi or chess at Great Lawn (Gramado). Do you like people watching? Ask for a table in the courtyard of Savor Gastropub, in the center of the park. Music lovers will be able to enjoy the attractions of the AT&T Performing Arts Center on a night filled with performances at the Wyly Theater or the Winspear Opera House, or alternatively, more harmonious music at the Meyerson Symphony Center. If you want to go out at night, visit the Oaklawn neighborhood, Dallas LGBT center is one of the most welcoming neighborhoods in the nations LGTB community. Dont miss country-style dances in the Round-Up Saloon! You can also take the car and head north from Dallas to Southfork Ranch, the original location of the Dallas TV series, which aired from 1978 to 1991."
"San Jose","Welcome to bustling San Jose, where Silicon Valley meets Spanish history and modern buildings reside alongside meticulously restored 19th century buildings. Size is the contrast in this city, rich in traditions and, thanks to the technological industry, increasingly rich. Five-star hotels and elegant restaurants spread through the streets of the restored city center, and the cultural scene boils with museums, theaters and the arts that rival any famous capital. Dont miss the Tech Museum of Innovation, an exploration of the Silicon Valley and its impact on the region. History fans will love the old mansions and will be able to research the citys past at the History Museum of San Jose. Save time for a round of golf or the other favorite pastime of city dwellers, drinking coffee and meeting people in a crowded cafeteria.","https://www.tripadvisor.com.br/Tourism-g33020-San_Jose_California-Vacations.html?fid=5363fadd-8963-48b9-9dee-70cbc0dc8d67"
"Madrid","Madrid, the capital of Spain, is a cosmopolitan city that combines the most modern infrastructures and the status as an economic, financial, administrative and service centre, with a large cultural and artistic heritage, a legacy of centuries of exciting history.\n\nStrategically located in the geographic centre of the Iberian Peninsula at an altitude of 646 m above sea level, Madrid has one of the most important historic centres of all the great European cities. This heritage merges seamlessly with the citys modern and convenient infrastructures, a wide-ranging offer of accommodation and services, and all the latest state-of-the-art technologies in audiovisual and communications media. These conditions, together with all the drive of a dynamic and open society –as well as high-spirited and friendly– have made this metropolis one of the great capitals of the Western world.\n\nIt has been populated since the Lower Palaeolithic era, although it was not until 1561 that King Philip II made Madrid the capital city of his vast empire. The historic centre, also known as the Madrid of Los Austrias (in reference to the Hapsburg monarchs), and the spectacular Plaza Mayor square –inaugurated in 1620 and one of the most popular and typical sites in Spain– are a living example of the nascent splendour of the city in the 16th and 17th centuries.\n\nNear the Plaza Mayor is the area known as the aristocratic centre where the jewel in the crown is the Royal Palace, an imposing building dating from the 17th century featuring a mixture of Baroque and classicist styles. Beside it is the Plaza de Oriente square, the Teatro Real opera house, and the modern cathedral of La Almudena which was consecrated in 1993 by Pope John Paul II. The Puerta del Sol square is surrounded by a varied and select area of shops and businesses, and the Paseo del Arte art route –whose name derives from its world-class museums, palaces and gardens– are further elements in an array of monuments which includes particularly the Bank of Spain building, the Palace of Telecommunications, and the fountains of Cibeles and Neptune.\n\nArt and culture play a key role in Madrids cultural life. The capital has over 60 museums which cover every field of human knowledge. Highlights include the Prado Museum, one of the worlds most important art galleries; the Thyssen-Bornemisza Museum, with over 800 paintings ranging from primitive Flemish artists through to the avant-garde movements. And the Reina Sofía National Art Centre, dedicated to contemporary Spanish art and containing works by Picasso, Joan Miró, Salvador Dalí and Juan Gris, among others.\n\nMadrids extensive and beautifully maintained parks and gardens –like the Retiro park, formerly the recreational estate to the Spanish monarchs, the Casa de Campo and the Juan Carlos I park– offer inhabitants and visitors the chance to enjoy the sunshine, stroll, row on its lakes or feed the squirrels, in one of the greenest capitals in Europe. The importance of its international airport, which every week receives over 1,000 flights from all over the world, its two Conference Centres, the modern trade fair ground in the Campo de las Naciones, and over 80,000 places in other meeting centres make Madrid one of Europes most attractive business hubs.\n\nBut if theres one thing that sets Madrid apart, it must be its deep and infectious passion for life that finds its outlet in the friendly and open character of its inhabitants. Concerts, exhibitions, ballets, a select theatrical offering, the latest film releases, the opportunity to enjoy a wide range of the best Spanish and international gastronomy, to savour the charms of its bars and taverns... all these are just a few of the leisure options on offer in Madrid. There is also a tempting array of shops and businesses featuring both traditional establishments and leading stores offering top brands and international labels.\n\nMadrids lively nightlife is another key attraction of Spains capital, due to its variety and the exciting atmosphere to be found in its bars, pubs, clubs and flamenco halls. Other daytime entertainment options include traditional outdoor dances, popular festivities and the San Isidro bullfighting festival, regarded as being the most important in the world.","https://www.spain.info/en/que-quieres/ciudades-pueblos/grandes-ciudades/madrid.html"
"Barcelona","Barcelona, the capital of Catalonia, is a Mediterranean and cosmopolitan city with Roman remains, medieval quarters and the most beautiful examples of 20th century Modernism and avant-garde. It is no surprise that emblematic constructions by the Catalan architects Antoni Gaudí and Lluís Doménech i Montaner have been declared World Heritage Sites by UNESCO.\n\nThe citys origins are Roman, and its long history and economic dynamism have made Barcelona a cultural city, which can be seen in the historic-artistic heritage and the promotion of the most innovative artistic trends. A wide cultural programme will take visitors to museums, exhibitions, open-air sculptures… and many concerts, plays and dances.\n\nPopular culture also has its manifestations in this city, which still conserves its most cherished traditions, like the fiestas of La Mercè or the festivities in the neighbourhoods of Gràcia, Sants and Poblenou. These are all exceptional opportunities for getting to know the citys more festive side.\n\nTradition and modernity can also be seen in its innovative and imaginative gastronomy, based on fresh garden produce, fresh fish, a wide variety of sausages and olive oil. Traditional handmade cakes and pastries and sparkling wines are some of the other highlights in this brief overview of Barcelonas gastronomic culture.\n\nStrolling around the streets of Barcelona will bring surprises at every turn. Pedestrian streets in the old quarter, green spaces, and a splendid seafront with a range of modern facilities are a reflection of its multi-faceted character. Barcelona has cleverly succeeded in embracing its past without forgetting its commitment to the future. The city is endowed with some exceptional infrastructures which are in demand as venues for seminars, symposia and international events. Its exceptional transport connections, the Mediterranean climate and the multitude of attractions for visitors make Barcelona one of the worlds leading business cities. Business parks and exhibition and conference centres host a wide range of initiatives.\n\nVisitors coming to Barcelona for pleasure or on business can also enjoy the citys Mediterranean character, which can so clearly be seen on the Barc elona coast. The city also has lovely urban beaches, marine resorts, and golf courses on the seashore. Nature lovers will not have to go far to explore the mountains in the Cordillera Litoral range and the Catalan Pyrenees.","https://www.spain.info/en/que-quieres/ciudades-pueblos/grandes-ciudades/barcelona.html"
"Sevilla","Situated on the banks of the Guadalquivir River, Seville has a rich Moorish heritage, and used to be a prosperous port that carried out trade with the Americas.\n\nThe streets and squares in the historic quarter of the capital of Andalusia are lively and busy. They treasure many constructions that have the World Heritage designation, and many districts are full of traditional culture, like Triana and La Macarena.\n\nSeville is a prominent business and service centre in the south of Spain and has many hotels distributed all over the city which enable visitors to discover endless attractions. Museums and art centres, theme parks, cinemas, theatres and clubs are some of the many leisure options that a great city like Seville holds. Without forgetting, of course, the numerous terraces, inns and bars where visitors can practise one of the most deeply-rooted and tasty traditions in the city: Going out for tapas.\n\nAnother good excuse to come to the Sevillian capital are the festivals. The celebrations of Easter Week and Feria de Abril (the April Fair), which have been declared of National Tourist Interest, reflect the devotion and folklore of the people of Seville, always open and friendly to visitors. But Sevilles appeal does not end there, as the city is also the starting point for the many cultural routes the province offers, such as the Roman Bética Route or the Washington Irving route.\n\nThe visitor will also discover the immense natural wealth of this region, which sits halfway between two continents, in natural treasures such as the Doñana Nature Reserve, declared a World Heritage Site and Biosphere Reserve by UNESCO, and the Sierra Norte Nature Reserve. They will be the ideal setting for practising outdoor sports, including hiking, horse riding, and cycling routes. If, on the other hand, golf is your sport of choice, then you will be glad to know that Seville has four excellent golf courses in its vicinity.","https://www.spain.info/en/que-quieres/ciudades-pueblos/grandes-ciudades/sevilla.html"
"Valencia","There are few cities like Valencia, able to harmoniously combine the remnants of its farthest past, dating to the year 138 BC, with the most innovative and avant-garde buildings from the new millennium.\n\nValencia is trade and culture, cinema, theatre, museums, magic, business. It is the centre of international and avant-garde design, and one of the most active cities in Europe regarding fairs and conferences.\n\nThanks to its location, Valencia has historically been Spain’s Mediterranean port and has that special charm of cities that are also seaports. And the fine sand and clean water, the vastness of the sea and the closeness of the coastal mountains make the Valencian coast uniquely attractive.\n\nThere are outstanding beaches and dunes at Canet d’En Berenguer, where the coastline becomes leisurely and residential, as it does to the north of the Valencian capital, where small tourist town (La Pobla de Farnals, Alboraya, and El Puig) have emerged where only a few years ago fruit and vegetables were grown.\n\nIn addition, still within the city of Valencia, the beaches of La Malvarrosa and Levante offer a wide variety of places to dine and enjoy a quiet evening by the sea. To the south, nature becomes predominant at Saler Beach and in the L’Albufera Nature Reserve, where the sun can be enjoyed in unique surroundings. The beaches of Cullera, Gandía and Oliva combine beautiful landscapes with a number of sporting and recreational facilities.\n\nInteresting routes await you inland, such as the one defined by the course of the Turia River, or charming towns like Buñol, Requena and Xátiva."
"Malaga","The Gibralfaro castle casts a watchful eye over this warm-hearted and lively city full of attractive sites such as the Alameda Principal avenue and the La Farola seafront promenade.\n\nIts status as the capital of the Costa del Sol has made it one of Spains foremost holiday destinations, thanks to its mild climate, its beaches and its outstanding offer of golf courses.\n\nPhoenicians, Greeks, Carthaginians, Romans… over 2,000 years ago the most important Mediterranean civilisations found in Malaga an exceptional place in which to establish trade routes, thanks to the strategic location of its port. The Alcazaba (8-11th century) is one of the symbols of the city, and one of the largest Arab fortresses in Andalusia. This building is today the site of the Archaeological Museum, containing valuable pieces dating from Phoenician and Roman times.\n\nThe Gibralfaro castle (14th century) is linked to the Alcazaba by a section of wall and offers outstanding views over the city, which is open to the sea through its port and the La Farola seafront promenade, one of the citys main leisure areas. At the foot of the Gibralfaro stands the Roman theatre, the bullring, (known as La Malagueta) and the historic quarter of the city.\n\nIn the centre stands the Cathedral (16-18th century), also known as La Manquita (the one-armed) thanks to its unfinished right tower. This beautiful Renaissance building is home to an interesting series of chapels containing fine examples of Andalusian imagery. In the old part of town there are other interesting churches such as the churches of Santiago 15-18th century), with its beautiful Mudéjar tower, Los Mártires, Sagrado Corazón and Santo Cristo de la Salud.\n\nHistoric Malaga offers a whole host of typical sites and corners. These include the façade of the Town Hall, dating from the early 20th century, and the Plaza de la Merced square, presided by the monument to Torrijos and the site of the house in which the famous painter Pablo Ruiz Picasso was born. A walk around the old quarter has to include the busy streets of Pasaje de Chinitas and Calle Granada, the site of the Museum of Fine Arts, and the Calle Larios, the main thoroughfare in the historic centre.\n\nThe capital of Malaga also has numerous green areas such as the park, the Alameda Principal avenue, and the gardens of Puerta Oscura and Pedro Luis Alonso.\n\nFiestas and the surrounding area\n\nA good time to visit Malaga is during Easter week. This festivity, declared in Malaga to be of International Tourist Interest, features spectacular religious floats known as pasos and displays of popular devotion in every part of town. One of the best accommodation options in the capital of Malaga is the Malaga Gibralfaro Parador hotel, located beside the castle. However it is essential to reserve your accommodation well in advance during these dates.\n\nThe area around Malaga reveals a province marked by extreme contrasts between its inland villages and the coast. The Costa del Sol is dotted with towns and villages with a long-standing tourist tradition such as Benalmádena, Torremolinos, Fuengirola, Marbella and Estepona. The coast is also the site of distinctive hotels such as the Malaga Golf Parador and the Nerja Parador.","https://www.spain.info/en/que-quieres/ciudades-pueblos/grandes-ciudades/malaga.html"
"Zaragoza","Come to Zaragoza, one of Spains major cities. The capital of the Region of Aragon is located on the banks of the Ebro River, halfway between Madrid and Barcelona. There are many reasons to come to this open, friendly city. Take note:\n\n2,000 years of history. You will find an impressive monumental legacy in its streets, as Romans, Muslims, Jews and Christians left their mark on this place: ruins of Roman civilisation such as the Theatre; the Aljafería Palace; Mudejar-style churches, declared a World Heritage Site by UNESCO; Baroque jewels such as the basilica of Pilar; the work of the genius Francisco de Goya... And also, the site of the modern Expo 2008. If you are an art-lover, Zaragoza is your city.\n\nLeisure: a variety of proposals. Theatres, cinemas, exhibitions, concerts, festivals, fairs... In Zaragoza a spectacular year-round cultural programme awaits you. The cultural life of the city is intense. See for yourself in the city streets or at venues like the Auditorium, the Principal Theatre or the Aragon Conference Centre. You can find all the different artistic styles in this city.\n\nDelicious gastronomy. Taste the typical dishes of the region and, of course, take part in one of the great traditions of the city, going for tapas: small gastronomic creations that delight anyone who tries them.\n\nA great city for shopping. Zaragoza has a wide commercial offer for all tastes. From pedestrian areas to large shopping centres, not forgetting the street markets. Stroll through the streets of the city and feel their bustle and vitality.\n\nNight-time entertainment. Enjoy the nightlife of Zaragoza. Pubs, nightclubs, bars and terrace bars open their doors until the early hours of the morning. Fun is assured in a city with wonderful nightlife at any time of year. You will see for yourself when you explore the main areas for going out. You will want to come back for more.\n\nFestive spirit. Zaragoza is a city always ready to party. You can see this, for example, during Easter week. The processions bring over one hundred thousand visitors to the city each year. Most important, however, are the El Pilar Fiestas in October. Participate in events that fill the streets with joy and hustle and bustle: bullfights, concerts, sports, religious parades, regional folklore...\n\nThe pleasure of a stroll. Walking around Zaragoza is a tradition and a luxury within everyones reach. Dress comfortably and explore the streets. This city is compact, ideal to wander on foot, and its boulevards, avenues and pedestrian areas are perfect for a stroll. This is also the best way to admire its monuments.\n\nRoutes and outings in the surrounding area. Discover the surroundings of Zaragoza, rich in landscapes, villages, spas, cultural routes and nature. From Fuendetodos, the birthplace of brilliant artist Francisco de Goya, to Calatayud, where you will find the Piedra Monastery nature area. Follow the Moncayo Route, to the provinces highest mountain, just a few kilometres from Tarazona, a Mudejar town packed with art. We would also recommend a visit to the Cinco Villas region, with its medieval atmosphere. These are a few outings that you will enjoy, less than an hour and a half away.","https://www.spain.info/en/que-quieres/ciudades-pueblos/grandes-ciudades/zaragoza.html"
"Bilbao","Bilbao is the heart of a metropolis where more than a million people live. It is the centre of the economic-social development and the main factor of the modernisation of the Bay of Biscay. The great architectural and infrastructure projects have been the driving force of the urban and economic regeneration of the city. The Bilbao Guggenheim Museum, the Euskalduna Conference and Music Centre, Norman Fosters Underground, Calatravas airport, the towers designed by the architects Arata Isozaki and César Pelli... are all examples of the dynamism that exists in Bilbao. The city is situated in the area of Bizkaia and is surrounded by a fertile landscape with forests, mountains, beaches and steep coasts. All this makes Bilbao a privileged destination for visitors. The modern transport and network of roads run to locations nearby such as the other capitals of the Basque Country - Vitoria and San Sebastián.","https://www.spain.info/en/que-quieres/ciudades-pueblos/grandes-ciudades/bilbao.html"
"Murcia","A chain of mountains surrounds the plain which Murcia sits upon, a city of Arab origin whose existence is closely linked to the fertile lands around the river Segura. From among its streets of guilds emerges the tower of the Cathedral, one of the symbols of the city.\n\nAlthough the region of Murcia has been inhabited for more than 2,000 years, the city of Murcia was not founded until 831, when the Emir of Cordoba Abd ar-Rahman II commissioned a walled city on the banks of the river Segura, to be the provincial capital under the Caliphate.\n\nIt was then that the Moorish region of Mursiya started to gain importance, until it became part of the Kingdom of Castile in the 13th century. Today, many places in the city still evoke its Moorish past. The architectural remains of the Almunia Real, the second residence of the Moorish monarchs, are particularly interesting. The site is about five kilometres north of Murcia, and many items recovered there can be seen at the Santa Clara Museum. Parts of the Moorish city wall can also still be seen in different parts of Murcias historic quarter.\n\nThe old town is situated next to the river Segura, with historical streets which still bear the names of the guilds that used to work there, such as the shopping streets Calle Platería, Calle Trapería, and Calle Vidrieros (silversmiths, cloth merchants and glass workers, respectively).\n\nIn Plaza Cardenal Belluga there are two architectural gems - the Episcopal Palace (18th century), with a rococo façade and Churrigueresque patio, and the Cathedral, begun in the late 14th century, and notable for its combination of different styles. For example, the lavish sculptures of the Baroque façade are particularly striking, and the impressive tower next to it is 92 metres high. Inside, the Vélez Chapel is a magnificent example of Flamboyant Gothic.\n\nMurcian Baroque is widely represented by religious buildings, such as the Church of La Merced, originating from the 16th century and rebuilt in the 18th century, the Convent Church of Santa Ana, and the Churches of Santo Domingo, San Nicolás and San Miguel.\n\nSome of the most important 19th-century buildings are also worth visiting: the Town Hall, the Roman Theatre and the Casino, this last with a Neoclassical façade and beautiful interior courtyard with Moorish influence.\n\nThe neighbourhoods of San Pedro, Santa Catalina and the surrounding area of the Plaza de las Flores offer some of the most picturesque corners of the capital of Murcia. A tour of the city could end in the beautiful Paseo del Malecón, the former embankment which once linked the city to the market gardens around it.\n\nMurcia has a broad range of museums and exhibitions. The Cathedral Museum boasts a spectacular processional monstrance from Toledo, while the Salzillo Museum has a beautiful collection of processional sculptures by this artist, one of the most iconic sculptors of 18th-century Spain. The Murcia Archaeological Museum conserves items from the different cultures that have come and gone in the region, including the Tesoro de la Finca Pinta, a hoard of Moorish and Christian coins. The Fine Arts Museum displays works by Giordano and Madrazo, amongst others.\n\nOther museums of interest are the Santa Clara Museum, the Museum of the City, the San Juan de Dios Museum, the Science and Water Museum, the Water Mills Museum, the Craft Centre and the Bullfighting Museum.\n\nFiestas, local cuisine and surrounding areas. \n\nThe city of Murcia has many religious and secular festivals, and its Easter celebrations are particularly notable. The salzillos procession, held on Good Friday, is well worth seeing. Also outstanding is the Entierro de la Sardina (burial of the sardine), part of its Spring Festival, which includes a parade. Both events have been declared Festivals of International Tourist Interest.\n\nOne of the capitals most deeply-rooted traditions is probably the Bando de la Huerta, which is also a Festival of International Tourist Interest and has been celebrated every Holy Tuesday for over a century and a half. This fiesta celebrates the regions traditional food and folklore, with parades, regional costumes, tastings of local specialities and reading of verses in Panocho, a local dialect. Another popular festivity is the Romería de la Virgen de la Fuensanta, where a procession takes a figure of the Virgin from the cathedral to a shrine five kilometres from Murcia.\n\nThe local cuisine of Murcia is based on the excellent fruit and vegetables grown in the region. The local specialities made with these raw materials include pisto huertano (similar to ratatouille, with peppers, onion and tomato), chickpeas with Swiss chard, and zarangollo (courgette, egg and onion). And to accompany our meal, we can choose any of the Murcia wines with Designation of Origin: Bullas, Yecla and Jumilla.\n\nOne of the main tourist attractions in Murcia is the coast, known as the Costa Cálida. Its 250 kilometres of coast, including the Mar Menor lagoon and the Mediterranean, provide a multitude of beaches offering a wide variety of water sports: sailing, windsurfing, kayaking, water-skiing, diving, etc. Águilas and Mazarrón have some of Spains best areas for scuba diving, with clear water and high visibility, where you can get close to the aquatic flora and fauna, and youll often see the remains of shipwrecks. Cartagena is another town with plenty to offer holidaymakers, from its coastline to its heritage buildings, and the fascinating National Museum of Underwater Archaeology.\n\nLa Manga del Mar Menor is very close to the town of Cartagena and is one of the main tourist destinations on the Costa Cálida. This area is unusual because it is a narrow strip of land running for some 24 kilometres (from La Punta del Mojón to Cabo de Palos), dividing the great lagoon of Mar Menor from the Mediterranean Sea. If you like water sports, here you will find a full range of facilities and services at the Marine Resort, where you can hire equipment, sign up for courses and book accommodation. La Manga del Mar Menor also has a reputation as a natural spa and beauty centre, thanks to the excellent therapeutic properties of its renowned marine mud.\n\nInland there are historical towns such as Caravaca de la Cruz and Lorca. Lorca is particularly attractive for its many Baroque buildings - parish churches, convents, mansions and palaces. San Patricio Collegiate Church and Lorca Castle are National Monuments. A few kilometres from this town is the Parador de Puerto Lumbreras, halfway between Levante and Andalusia, an exceptional place to stay if you want to visit these regions.\n\nThe province of Murcia has a wealth of landscape and environmental heritage, protected by regional parks. Golden sand beaches, with dunes and unspoilt coves can be found in Salinas y Arenales de San Pedro del Pinatar; Calblanque, Monte de las Cenizas y Peña del Águila; and Cabo Cope y Puntas de Calnegre. The mountain ranges and valleys inland are the main features of the regional parks of Sierra de Carche, Sierra de la Pila, Sierra de Espuña, and Carrascoy y El Valle. These places are the perfect setting for sports with a low impact on the environment and for exploring nature in Murcia.","https://www.spain.info/en/que-quieres/ciudades-pueblos/otros-destinos/murcia.html"
"Palma","The capital of the island of Majorca is located in the bay of the same name and enjoys an excellent climate all year round (with an average annual temperature of 17.9° C). Known for its sun and beach tourism, it also has an attractive historic quarter. The Cathedral, the Almudaina Palace, the Lonja fish market and Plaza Mayor are some of the sites that are well worth visiting. The most beautiful monuments are surrounded by fishing boats, pine forests and palm trees. The landscape of the island is full of coves, beaches and cliffs on the coast, and inland you will find typical towns and mountain ranges up to 1,500 metres high. The variety of the landscape and culture invites visitors to explore every corner of Majorca and to find out more about the gastronomy of the island.","https://www.spain.info/en/que-quieres/ciudades-pueblos/grandes-ciudades/palma.html"
"Las Palmas Canary Island","Volcanic sands, bays surrounded by cliffs and exceptional natural landscapes. This is the island of La Palma, an idyllic spot with numerous ecological treasures. It was shortlisted for the European Commissions EDEN programme (European Destinations of Excellence), in recognition of its commitment to sustainable tourism. La Palma, known as the isla bonita (beautiful island), is the greenest island in the Canary Island archipelago. From lush forests to steep cliffs hiding beaches of black sand, visitors will find the island endlessly surprising for its ecological treasures and exceptional scenery. Declared a Biosphere Reserve by the UNESCO, it is home to numerous protected natural spaces, including the Caldera de Taburiente National Park inland. The volcanic lava, which goes right down to the sea, has created a low, rocky coastline with small bays hidden away between steep cliffs.\n\nThe nature of the terrain means that only a few kilometres inland there are high mountain ranges such as the Roque de los Muchachos, a world reference for astrophysics thanks to its modern observatory which has one of the most cutting-edge and spectacular telescopes in the world. With annual temperatures of between 16 and 21 degrees centigrade, La Palma has numerous interesting monuments and archaeological sites, as well as a multitude of shrines, churches and museums –although perhaps its most outstanding historic feature is the town of Santa Cruz de la Palma. Some of its most deeply-rooted traditions are worth a particular mention, including Los Indianos at carnival time and every five years, the quinquennial festivities known as the Descent of the Virgin of Las Nieves. In the first two weeks of July, the festivities of the Semana Grande and the Semana Chica are a chance to enjoy a series of major events and performances. A particular highlight is the Dance of the Dwarves.\n\nHand-crafted textiles, cigars, sweets and traditionally-made cheeses are just a few of the wide variety of items on offer in the island."
"Pequim","From ancient walled capital to showpiece megacity in barely a century, Beijing (Běijīng, 北京), spins a breathless yarn of triumph, tragedy, endurance and innovation.\n\n\n\nLayers of History\n\nCapital of China since Kublai Khan came a-knocking (with a hundred thousand Mongol horsemen behind him), Beijing has hosted the last three imperial dynasties: the Yuan (Mongols), the Ming (Han Chinese) and the Qing (Manchu). Hutong, the city's residential alleyways, are a Mongolian legacy. The Forbidden City? Hat-tip to the Ming. Summer Palace? The Qing. Nor does it stop there. Chairman Mao slumbers in Tian'anmen Square, hallowed turf for the Communist Party of China. And over it all loom giants like the 528m CITIC Tower, which topped out in 2018. What next for this restive superpower? You're about to find out...\n\nHave You Eaten?\n\nIn Beijing, chī le ma? (have you eaten?) is literally how locals greet their neighbours. Food is the glue that binds all Beijingren, no matter their beliefs or bank balance. Whether you're slurping noodles, queuing for jiānbing, or guiltily rolling just one more Peking duck pancake, you're in good company. A mouth-watering melting pot, Beijing hosts exotic regional cuisines from across China, which equates to unbridled adventure for foodies. And all that icky stuff: dogs, snakes, bugs? That’s all down south. Beijingren don't go in for any of that tripe. Although they do love actual tripe, dipped in sesame sauce!\n\nState of the Arts\n\nFrom Peking opera troupes to world-class contemporary art, Beijing draws on a profound well of creativity, and that's despite the vagaries of censorship. To give the government its due, museums are more numerous than ever, curation is less prescriptive and innovation is at an all-time high. China's finest universities feed Zhongguancun, the 'Silicon Valley' of Beijing, which is making seismic waves with its breakthroughs in AI and Big Data. At the humbler end, post-punk bands drone away in divey livehouses, local DJs get the hands in the air, while old folks still warble the revolutionary songs in the city parks.\n\n\n\nParty Capital\n\nUndisputed party capital – the Communist Party, that is – Beijing is a uniquely micromanaged megacity, a showpiece where the State's latest schemes are piloted to the populace. 'Xi Jinping Thought' is the guiding mantra (Xi being China's prez for the foreseeable future). When Beijing needs to get things done, it gets things done. Air pollution? Improving year on year. Winter Olympics in a snowless city? No problemo. Country-wide surveillance? Easy-peasy. The world's biggest airport, Daxing, was ready to open at time of research, as ever more bullet trains race outwards to the provinces. All in a day's work for Beijing.","https://www.lonelyplanet.com/china/beijing"
